grievance_id,text,category,,,,,,,,,,,,,,,,,,,,,,,
GRVH900524,"Respected Sir, Ration dealer Gwalior mein har mahine paise leta hai anaj dene ke liye, complaint dena chahta hoon. Kripya jald samadhan karein.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900263,"?????, FIR Kanpur thane mein darj nahi ki ja rahi h one week se, police sun nahi rahi.",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900251,"Sir/Madam, ???? ????? Raipur ??? 1 hafta ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Kripya jald samadhan karein.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900389,"Government school Madan Mahal mein books 10 din se distribute nahi hui, session shuru ho chuka hai. Thank you.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900121,"Dear officer, Municipal safai gaadi Kotwali area area cover nahi karti, kachra jama hota rehta hai roz. Otherwise we will protest.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900208,"?????, Registry ke baad bhi khasra number update nahi hua Model Town revenue office mein.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900546,"Dear officer, Contractor Model Town construction site par safety equipment nahi deta, accident ka khatra rehta hai. ????? ???? ???????? ?????",Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900194,"Sir/Madam, Divyang pension yojna ka labh Deepak Chouhan ko 3 days se nahi mil raha Ward 12 mein, form baar baar reject ho raha. Kripya jald samadhan karein.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900061,"?????, Load shedding Wright Town area mein bahut zyada ho rahi hai, bijli sirf kuch ghante milti hai. Otherwise we will protest.",Electricity,,,,,,,,,,,,,,,,,,,,,,,
GRVH900323,"Respected Sir, Sarkari hospital Ranchi mein doctor 5 din se nahi aa rahe, mareez pareshan hain. Please take urgent action.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900400,"????????? ????? ??????? Ward 12 ?? ????? ??? ?? ???? ?????, ???? ???? ??? ???? ?????? ??? Sadar naman.",Ration & Public Distribution System,,,,,,,,,,,,,,,,,,,,,,,
GRVH900182,"Namaste sir, Divyang pension yojna ka labh Rajesh Verma ko 3 days se nahi mil raha Nagpur mein, form baar baar reject ho raha.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900538,"Respected Sir, Contract worker Kanpur factory mein PF aur ESI ka labh nahi diya ja raha hai kai mahino se.",Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900544,???????? Madan Mahal ??? ??????? ?? ??????? ???? ???? ???? ?? ??? ?? a month ???,Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900068,"Sir/Madam, Meter reading galat li gayi hai Jaipur mein, bill 2000 zyada aaya, bijli connection sahi hai fir bhi.",Electricity,,,,,,,,,,,,,,,,,,,,,,,
GRVH900338,"Blood bank Wright Town mein zaroori blood group available nahi tha emergency mein, delay se dikkat hui. ????? ???? ???????? ?????",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900104,"Sir/Madam, Flyover construction Kotwali area mein delay ho raha hai 3 days se, traffic diversion se logo ko dikkat.",Roads & Infrastructure,,,,,,,,,,,,,,,,,,,,,,,
GRVH900084,"Sir/Madam, Speed breaker Gandhi Nagar mein bina signage ke bana diya gaya, two weeks mein do accident ho chuke hn. Kripya jald samadhan karein.",Roads & Infrastructure,,,,,,,,,,,,,,,,,,,,,,,
GRVH900074,"Dear officer, Meter reading galat li gayi hai Raipur mein, bill 500 zyada aaya, bijli connection sahi hai fir bhi.",Electricity,,,,,,,,,,,,,,,,,,,,,,,
GRVH900401,"Dear officer, PDS dealer Kotwali area mein kerosene nahi de raha, black market mein bech raha hai shayad. Bahut pareshaan hain hum log.",Ration & Public Distribution System,,,,,,,,,,,,,,,,,,,,,,,
GRVH900416,"PDS dealer Bhopal mein kerosene nahi de raha, black market mein bech raha hai shayad. Please take urgent action.",Ration & Public Distribution System,,,,,,,,,,,,,,,,,,,,,,,
GRVH900252,"Dear officer, Registry ke baad bhi khasra number update nahi hua Raipur revenue office mein. Kripya jald samadhan karein.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900185,"Sir/Madam, Mohd. Salim ki pension one week se nahi mili hai, bank account Shastri Colony branch mein hai. Kripya jald samadhan karein.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900589,"Sir/Madam, Death certificate apply kiya tha 2 hafte pehle Indore mein, abhi tak nahi mila. Bahut pareshaan hain hum log.",Municipal Certificates,,,,,,,,,,,,,,,,,,,,,,,
GRVH900307,"Sir/Madam, Blood bank Gwalior mein zaroori blood group available nahi tha emergency mein, delay se dikkat hui. Please take urgent action.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900473,"Namaste sir, Passbook update Nagpur bank branch mein a month se nahi ho raha, staff kaam nahi kar rahe. Thank you.",Banking & Financial Services,,,,,,,,,,,,,,,,,,,,,,,
GRVH900520,"Dear officer, Bribe li gayi thi Meena Kori se Sector 7 office mein kaam ke badle mein, sabuth hai.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900352,"Midday meal quality Civil Lines school mein bahut kharab hai, bacche bimar pad rahe hain. Otherwise we will protest.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900532,"Namaste sir, ???????? Ward 12 ??? ??????? ?? ??????? ???? ???? ???? ?? ??? ?? two weeks ??? Otherwise we will protest.",Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900299,"Blood bank Kanpur mein zaroori blood group available nhi tha emergency mein, delay se dikkat hui. Thank you.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900531,Contract worker Model Town factory mein PF aur ESI ka labh nahi diya ja raha hai kai mahino se. Thank you.,Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900196,"Anil Yadav ki pension one week se nahi mili hai, bank account Adhartal branch mein hai. Please take urgent action.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900358,"Namaste sir, Midday meal quality Indore school mein bahut kharab h, bacche bimar pad rahe hain. ????? ???? ???????? ?????",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900166,"Namaste sir, Ashok Gupta ki pension 20 din se nahi mili hai, bank account Kotwali area branch mein hai. Sadar naman.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900539,"Sir/Madam, ???????? Gwalior ??? ??????? ?? ??????? ???? ???? ???? ?? ??? ?? 5 din ??? Otherwise we will protest.",Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900505,????? ?????? ???? ?????? ?? ??? 1500 ???? ????? ?? Nagpur ???????? ???? Sadar naman.,Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900231,"?????, ???? ????? Shastri Colony ??? 20 din ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Bahut pareshaan hain hum log.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900611,"Sir/Madam, Birth certificate Lucknow nagar nigam se a month se nahi bana, school admission ruk gaya. Otherwise we will protest.",Municipal Certificates,,,,,,,,,,,,,,,,,,,,,,,
GRVH900567,"Dear officer, ???????? Lucknow ??? ??????? ?? ??????? ???? ???? ???? ?? ??? ?? 1 mahine ??? Sadar naman.",Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900296,"???? Bhopal ??? ?????? ???? ?? ?? ????? ?? ??????? ????, 5 din ??? ?? ??? ???????? ?????",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900360,"Government school Adhartal mein books 1 hafta se distribute nahi hui, session shuru ho chuka hai. Kripya jald samadhan karein.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900337,"Blood bank Patna mein zaroori blood group available nahi tha emergency mein, delay se dikkat hui. Sadar naman.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900300,"Blood bank Gandhi Nagar mein zaroori blood group available nahi tha emergency mein, delay se dikkat hui. Thank you.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900376,"Respected Sir, Government school Wright Town mein books 2 hafte se distribute nahi hui, session shuru ho chuka hai. Kripya jald samadhan karein.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900222,"Sir/Madam, ???? ????? Raipur ??? 3 days ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Otherwise we will protest.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900568,Contract worker Gwalior factory mein PF aur ESI ka labh nahi diya ja raha hai kai mahino se. Sadar naman.,Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900091,"?????, Sadak Raipur mein 15 din se kaam adhura pada hai, dhool aur gaddo ki wajah se logo ko pareshani. Sadar naman.",Roads & Infrastructure,,,,,,,,,,,,,,,,,,,,,,,
GRVH900216,"???? ????? Nagpur ??? 20 din ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Kripya jald samadhan karein.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900209,"Namaste sir, Registry ke baad bhi khasra number update nahi hua Ward 12 revenue office mein.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900365,"Namaste sir, Government school Ward 12 mein books 1 hafta se distribute nahi hui, session shuru ho chuka hai.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900204,"?????, ???? ????? Varanasi ??? 5 din ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Please take urgent action.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900234,"Dear officer, Registry ke baad bhi khasra number update nahi hua Model Town revenue office mein.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900555,"Respected Sir, Contract worker Kanpur factory mein PF aur ESI ka labh nahi diya ja raha hai kai mahino se. Otherwise we will protest.",Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900133,"Municipal safai gaadi Nagpur area cover nahi karti, kachra jama hota rehta hai roz. Bahut pareshaan hain hum log.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900592,"Death certificate apply kiya tha one week pehle Sector 7 mein, abhi tak nahi mila. Sadar naman.",Municipal Certificates,,,,,,,,,,,,,,,,,,,,,,,
GRVH900001,"Namaste sir, Water pipeline leak ho gaya hai Napier Town mein, sadak par paani bah raha hai 10 din se. Please take urgent action.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900124,"Dear officer, Municipal safai gaadi Gwalior area cover nahi karti, kachra jama hota rehta hai roz. Sadar naman.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900240,"?????, Registry ke baad bhi khasra number update nahi hua Ward 12 revenue office mein. Thank you.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900368,"Dear officer, Midday meal quality Indore school mein bahut kharab h, bacche bimar pad rahe hain.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900499,"Dear officer, Ration dealer Nagpur mein har mahine paise leta hai anaj dene ke liye, complaint dena chahta hoon. ????? ???? ???????? ?????",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900195,"Sir/Madam, Divyang pension yojna ka labh Rekha Ahirwar ko 15 din se nahi mil raha Kanpur mein, form baar baar reject ho raha. Sadar naman.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900100,"Sadak Wright Town mein 3 din se kaam adhura pada hai, dhool aur gaddo ki wajah se logo ko pareshani.",Roads & Infrastructure,,,,,,,,,,,,,,,,,,,,,,,
GRVH900285,"Dear officer, FIR Lucknow thane mein darj nahi ki ja rahi hai 5 din se, police sun nahi rahi.",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900333,"Namaste sir, Blood bank Patna mein zaroori blood group available nahi tha emergency mein, delay se dikkat hui. ????? ???? ???????? ?????",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900553,"Contractor Varanasi construction site par safety equipment nahi deta, accident ka khatra rehta hai.",Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900274,"Namaste sir, FIR Kanpur thane mein darj nahi ki ja rahi hai 5 din se, police sun nahi rahi.",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900002,"Drinking water contaminated h Kotwali area mein, please send sample testing team. Kripya jald samadhan karein.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900146,"Sir/Madam, Municipal safai vibhag Patna mein complaint karne par bhi kachra nahi uthata, ganda mahaul hai. Please take urgent action.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900206,"Namaste sir, Registry ke baad bhi khasra number update nahi hua Nagpur revenue office mein. Please take urgent action.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900516,"Respected Sir, Bribe li gayi thi Deepak Chouhan se Gwalior office mein kaam ke badle mein, sabuth hai. Bahut pareshaan hain hum log.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900484,"Namaste sir, ????? ?????? ???? ?????? ?? ??? 5000 ???? ????? ?? Lucknow ???????? ???? Sadar naman.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900363,"Namaste sir, Government school Lucknow mein books 3 din se distribute nhi hui, session shuru ho chuka h. Thank you.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900241,"Namaste sir, Registry ke baad bhi khasra number update nahi hua Jabalpur revenue office mein.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900071,"Meter reading galat li gayi hai Model Town mein, bill 3000 zyada aaya, bijli connection sahi hai fir bhi. Kripya jald samadhan karein.",Electricity,,,,,,,,,,,,,,,,,,,,,,,
GRVH900345,"Sir/Madam, Midday meal quality Madan Mahal school mein bahut kharab h, bacche bimar pad rahe hain. Please take urgent action.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900088,"Respected Sir, Flyover construction Model Town mein delay ho raha hai 10 din se, traffic diversion se logo ko dikkat. Sadar naman.",Roads & Infrastructure,,,,,,,,,,,,,,,,,,,,,,,
GRVH900582,"Death certificate apply kiya tha 10 din pehle Jabalpur mein, abhi tak nahi mila.",Municipal Certificates,,,,,,,,,,,,,,,,,,,,,,,
GRVH900329,"Sarkari hospital Raipur mein doctor 5 din se nhi aa rahe, mareez pareshan hn. Bahut pareshaan hain hum log.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900178,"Namaste sir, Divyang pension yojna ka labh Anil Yadav ko two weeks se nahi mil raha Jaipur mein, form baar baar reject ho raha.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900418,"Dear officer, PDS dealer Lucknow mein kerosene nahi de raha, black market mein bech raha hai shayad.",Ration & Public Distribution System,,,,,,,,,,,,,,,,,,,,,,,
GRVH900042,"?????, Water supply ka pipeline Madan Mahal mein fata pada hai, saaf paani nahi mil raha logo ko.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900041,"Respected Sir, Water pipeline leak ho gaya h Madan Mahal mein, sadak par paani bah raha hai two weeks se. Kripya jald samadhan karein.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900590,"Sir/Madam, Death certificate apply kiya tha 3 days pehle Ward 12 mein, abhi tak nhi mila.",Municipal Certificates,,,,,,,,,,,,,,,,,,,,,,,
GRVH900211,Registry ke baad bhi khasra number update nahi hua Lucknow revenue office mein. Kripya jald samadhan karein.,Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900479,"Dear officer, Bribe li gayi thi Rekha Ahirwar se Kotwali area office mein kaam ke badle mein, sabuth hai.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900232,"???? ????? Napier Town ??? 1 hafta ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Otherwise we will protest.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900366,"Namaste sir, Midday meal quality Gwalior school mein bahut kharab hai, bacche bimar pad rahe hain. Please take urgent action.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900523,"Namaste sir, Bribe li gayi thi Kavita Singh se Gwalior office mein kaam ke badle mein, sabuth hai. Please take urgent action.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900426,"Sir/Madam, ????????? ????? ??????? Indore ?? ????? ??? ?? ???? ?????, ???? ???? ??? ???? ?????? ??? Please take urgent action.",Ration & Public Distribution System,,,,,,,,,,,,,,,,,,,,,,,
GRVH900139,"Municipal safai vibhag Gwalior mein complain karne par bhi kachra nhi uthata, ganda mahaul h. Otherwise we will protest.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900547,"Dear officer, ???????? Jabalpur ??? ??????? ?? ??????? ???? ???? ???? ?? ??? ?? 15 din ??? Please take urgent action.",Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900198,"Divyang pension yojna ka labh Meena Kori ko 20 din se nahi mil raha Raipur mein, form baar baar reject ho raha.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900289,"???? Adhartal ??? ?????? ???? ?? ?? ????? ?? ??????? ????, 3 days ??? ?? ??? ???????? ????? Sadar naman.",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900180,"Divyang pension yojna ka labh Geeta Bai ko 1 mahine se nahi mil raha Gandhi Nagar mein, form baar baar reject ho raha. Kripya jald samadhan karein.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900470,"?????? ??? ????? Ranchi ???? ???? ??? 15 din ?? ????? ??, ??? ??? ???????? ????? ?? ??? ???? Sadar naman.",Banking & Financial Services,,,,,,,,,,,,,,,,,,,,,,,
GRVH900294,"FIR Lucknow thane mein darj nahi ki ja rahi hai 3 days se, police sun nahi rahi.",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900057,"Namaste sir, Load shedding Raipur area mein bahut zyada ho rahi hai, bijli sirf kuch ghante milti hai. Please take urgent action.",Electricity,,,,,,,,,,,,,,,,,,,,,,,
GRVH900483,"Respected Sir, Bribe li gayi thi Mohd. Salim se Ranchi office mein kaam ke badle mein, sabuth h. Kripya jald samadhan karein.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900024,"?????, Water supply ka pipeline Civil Lines mein fata pada hai, saaf paani nhi mil raha logo ko. Please take urgent action.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900141,"Sir/Madam, Municipal safai vibhag Adhartal mein complaint karne par bhi kachra nhi uthata, ganda mahaul hai. Kripya jald samadhan karein.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900127,"????????? ???? ????? Indore ??? ??????? ?? ??? ???, ???? ????? ???? ? ???? Otherwise we will protest.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900456,"Namaste sir, ?????? ??? ????? Indore ???? ???? ??? 10 din ?? ????? ??, ??? ??? ???????? ????? ?? ??? ???? Thank you.",Banking & Financial Services,,,,,,,,,,,,,,,,,,,,,,,
GRVH900015,"Namaste sir, Drinking water contaminated hai Lucknow mein, please send sample testing team. Kripya jald samadhan karein.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900391,"Namaste sir, Midday meal quality Sector 7 school mein bahut kharab hai, bacche bimar pad rahe hain. Thank you.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900298,"Respected Sir, ???? Kotwali area ??? ?????? ???? ?? ?? ????? ?? ??????? ????, two weeks ??? ?? ??? ???????? ????? ????? ???? ???????? ?????",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900364,"Sir/Madam, Midday meal quality Varanasi school mein bahut kharab hai, bacche bimar pad rahe hain. Bahut pareshaan hain hum log.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900431,"Respected Sir, PDS dealer Kanpur mein kerosene nahi de raha, black market mein bech raha hai shayad. Please take urgent action.",Ration & Public Distribution System,,,,,,,,,,,,,,,,,,,,,,,
GRVH900261,"?????, FIR Shastri Colony thane mein darj nahi ki ja rahi hai 3 din se, police sun nahi rahi. Kripya jald samadhan karein.",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900472,"Passbook update Patna bank branch mein two weeks se nahi ho raha, staff kaam nahi kar rahe. Sadar naman.",Banking & Financial Services,,,,,,,,,,,,,,,,,,,,,,,
GRVH900145,"Namaste sir, Municipal safai vibhag Madan Mahal mein complaint karne par bhi kachra nahi uthata, ganda mahaul hai. Kripya jald samadhan karein.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900533,Contract worker Ward 12 factory mein PF aur ESI ka labh nahi diya ja raha hai kai mahino se. Bahut pareshaan hain hum log.,Employment & Labour,,,,,,,,,,,,,,,,,,,,,,,
GRVH900028,"No proper drinking water paani facility in Napier Town village, women have to walk 2km daily. Kripya jald samadhan karein.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900271,"?????, ???? Ward 12 ??? ?????? ???? ?? ?? ????? ?? ??????? ????, a month ??? ?? ??? ???????? ????? Sadar naman.",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900369,"Dear officer, Government school Indore mein books 2 hafte se distribute nahi hui, session shuru ho chuka h. Sadar naman.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900144,"????????? ???? ????? Napier Town ??? ??????? ?? ??? ???, ???? ????? ???? ? ???? Please take urgent action.",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900490,"Ration dealer Gandhi Nagar mein har mahine paise leta hai anaj dene ke liye, complaint dena chahta hoon. Otherwise we will protest.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900021,"Drinking water contaminated hai Napier Town mein, please send sample testing team. Bahut pareshaan hain hum log.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900179,"Sir/Madam, Divyang pension yojna ka labh Anil Yadav ko 10 din se nhi mil raha Civil Lines mein, form baar baar reject ho raha. Please take urgent action.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900142,"Municipal safai gaadi Indore area cover nahi karti, kachra jama hota rehta hai roz. ????? ???? ???????? ?????",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
GRVH900248,"???? ????? Gwalior ??? 2 hafte ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Please take urgent action.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900233,"Sir/Madam, Registry ke baad bhi khasra number update nahi hua Bhopal revenue office mein.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900341,"Blood bank Adhartal mein zaroori blood group available nahi tha emergency mein, delay se dikkat hui. Kripya jald samadhan karein.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900303,"?????, Blood bank Napier Town mein zaroori blood group available nahi tha emergency mein, delay se dikkat hui. Kripya jald samadhan karein.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900306,"Sarkari hospital Sector 7 mein doctor 1 mahine se nahi aa rahe, mareez pareshan hain. Sadar naman.",Healthcare & Hospitals,,,,,,,,,,,,,,,,,,,,,,,
GRVH900489,"Ration dealer Gandhi Nagar mein har mahine paise leta hai anaj dene ke liye, complaint dena chahta hoon. Sadar naman.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900157,"Divyang pension yojna ka labh Mohd. Salim ko 15 din se nhi mil raha Civil Lines mein, form baar baar reject ho raha.",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900291,"FIR Gwalior thane mein darj nhi ki ja rahi hai a month se, police sun nahi rahi. Thank you.",Police & Law and Order,,,,,,,,,,,,,,,,,,,,,,,
GRVH900412,"Sir/Madam, ????????? ????? ??????? Kotwali area ?? ????? ??? ?? ???? ?????, ???? ???? ??? ???? ?????? ???",Ration & Public Distribution System,,,,,,,,,,,,,,,,,,,,,,,
GRVH900430,"Namaste sir, ???? ?? ????? Model Town ??? ??? ??? ??????? ?? ??? ??, ?? ???? ???? ?? ??? ??? Otherwise we will protest.",Ration & Public Distribution System,,,,,,,,,,,,,,,,,,,,,,,
GRVH900521,"?????, Bribe li gayi thi Deepak Chouhan se Kanpur office mein kaam ke badle mein, sabuth hai. ????? ???? ???????? ?????",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900070,"Dear officer, Meter reading galat li gayi hai Shastri Colony mein, bill 5000 zyada aaya, bijli connection sahi hai fir bhi. Sadar naman.",Electricity,,,,,,,,,,,,,,,,,,,,,,,
GRVH900387,"Namaste sir, Midday meal quality Madan Mahal school mein bahut kharab hai, bacche bimar pad rahe hain. Kripya jald samadhan karein.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900150,"Dear officer, ????????? ???? ????? Model Town ??? ??????? ?? ??? ???, ???? ????? ???? ? ???? ????? ???? ???????? ?????",Sanitation & Garbage,,,,,,,,,,,,,,,,,,,,,,,
